"id","song","artist","tonality","capo","chords"
418,That Thing You Do Title Song,Misc Soundtrack,E,0,"E,Am,E,A,B,E,A,B,C#m,F#,F#m,Am,B,E,A,B,E,A,B,C#m,F#,D,B,C#m,F#,E,E7,A,Am,E,Am,E,B,E,A,B,E,A,B,C#m,F#,F#m,Am,B,E,A,B,E,A,B,C#m,F#,D,B,C#m,F#,E,E7,A,Am,E,Am,E,A,C#m,F#,B,C,B,E,A,B,E,A,B,C#m,F#,F#m,Am,B,E,A,B,E,A,B,C#m,F#,D,B,C#m,F#,E,E7,A,Am,E,Am,E,Am,E,B7,A,Am,E,Emaj7"
456,Flying Without Wings,Westlife,"",1,"G,Em,C,D,G,Em,C,D,G,G,Em,C,D,G,Em,C,D,G,C,D,Em,D,C,C,Cm,D,G,Em,C,D,G,Em,C,D,G,C,D,C,D,G"
464,I Lay My Love On You,Westlife,"",0,"Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,C,F,G,D,A,Bm,D,A,Em,G,A,D,Am,Dm,G,C,Em,Am,Dm,G,C,G,Am,C,F,G,D,A,Bm,D,A,Em,G,A,D,Em,Em,D,D,Em,Em,D,D,D,G,A,D,G,Bm,D,G,A,E,B,A,E,B,F#m,A,B,E"
466,My Love,Westlife,"",0,"Dm,G,G,F,C,C,G,Em,Am,F,F,G,C,G,Em,Am,F,F,F#7,G,F,G,C,Am,F,Dm,G,F,C,F,C,F,C,Am,D,G,F,C,F,C,F,C,Am,D,G,C,C,G,Em,Am,F,F,G,C,G,Em,Am,F,F,F#7,G,F,G,C,Am,F,Dm,G,F,C,F,C,F,C,Am,D,G,F,C,F,C,F,C,Am,D,E,Am,D,G,E,Am,D,G,C,G,Em,Am,F,Dm,G,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,D"
467,Fool Again,Westlife,"",0,"C,G,F,G,C,C,G,F,G,C,F,G,Am,F,F#m,C,G,Am,F,G,C,G,A,C,G,Am,F,G,C,G,A,C,G,F,G,C,C,G,F,G,C,F,G,Am,F,F#m,C,G,Am,F,G,C,G,A,C,G,Am,F,G,C,G,A,C,G,Am,G,F,G,Am,F,F#m"
469,My Love,Westlife,"",0,"C,G,Em,Am,F,F,G,C,G,Em,Am,F,F,F#7,G,F,G,C,Am,Dm,F,G,F,C,F,C,F,C,Am7,D,G,F,C,F,C,F,C,Am7,D,G,C,C,G,Em,Am,F,F,G,C,G,Em,Am,F,F,F#7,G,F,G,C,Am,Dm,F,G,F,C,F,C,F,C,Am7,D,G,F,C,F,C,F,C,Am7,D,E,Am,D,G,E,Am,D,G,C,G,Em,Am,Dm,F,G,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,G,D,G,D,G,D,Bm,E,A,D"
588,Blister In The Sun,Violent Femmes,"",0,"G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,Em,C,Em,C,D,G,C,G,C,G,C,G,G,C,G,C,G,C,G,Em,C,Em,C,D,D,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,G,C,G,C,G,C,G,Em,C,Em,C,D,G,C,G,C,G,C,G"
628,After Hours,The Velvet Underground,"",0,"C,A7,Dm,G,C,A7,Dm,G,C,C7,F,Fm,C,A7,Dm,G,C,C,A7,Dm,G,C,A7,Dm,G,C,C7,F,Fm,C,A7,Dm,G,C,C,B,Bb,Am,E7,Am,E7,Am,E7,Am,Am,G#,G,Dm,A7,Dm,A7,F,G,C,A7,Dm,G,C,A7,Dm,G,C,C7,F,Fm,C,A7,Dm,G,C,Dm,G,C,A7,Dm,G,C,Am,E7,E,A,D,G,B,E,E,A,D,G,B,E"
635,Femme Fatale,The Velvet Underground,"",0,"Cmaj7,Fmaj9,Cmaj7,Fmaj9,Cmaj7,F,Dm,G,Cmaj7,Fmaj9,Cmaj7,Fmaj9,Cmaj7,F,Dm,G,C,F,C,F,C,F,Dm,Bb,G,Cmaj7,Fmaj9,Cmaj7,Fmaj9,Cmaj7,F,Dm,G,Cmaj7,Fmaj9,Cmaj7,Fmaj9,Cmaj7,F,Dm,G,C,F,C,F,C,F,Dm,Bb,G,C,F,C,F,C,F,C,F,C,F"
652,We Belong Together,Ritchie Valens,"",0,"F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,F7,Bb,Bbm,F,Bb,Bbm,G7,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Bb,F"
816,Beautiful Day,U2,"",0,"A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A5,B5,D5,G5,D5,A5,A5,B5,D5,G5,D5,A5,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A5,B5,D5,G5,D5,A5,A5,B5,D5,G5,D5,A5,F#m,G,D,A,F#m,G,D,A,A,Bm,D,G,D,A,Em,D,Em,G,D,Em,G,D,Em,G,D,A5,B5,D5,G5,D5,A5,A5,B5,D5,G5,D5,A5,F#m,G,D,A,F#m,G,D,A,A,Bm,D,G,D,A,A,Bm,D,G,D,A,A5,B5,D5,G5,D5,A5,A5,B5,D5,G5,D5,A5"
830,Stuck In A Moment You Cant Get Out Of,U2,"",0,"E,A,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,C#m,A,F#,A,C#m,A,C#m,B,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,Cdim,C#m,A,A,E,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,C#m,A,F#,A,C#m,A,C#m,B,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E,Cdim,C#m,A,E,F#m,A,E,F#m,A,D,B,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,Cdim,C#m,A,E,E,E/G#,A,E/G#,B,C#m,A,E,E,E/G#,A,E/G#,Cdim,C#m,A,E,Bbm,C#m,A,A"
835,With Or Without You,U2,D,0,"D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G"
836,Cats In The Cradle,Ugly Kid Joe,"",0,"E,G,A,E,E,G,A,E,D,G,E,G,E,E,D,G,A,E,D,G,D/F#,E,G,D/F#,E,E,G,A,E,E,G,A,E,D,G,E,G,E,E,D,G,A,E,D,G,D/F#,E,G,D/F#,E,E,G,A,E,E,G,A,E,D,G,E,E,D,G,A,E,D,G,D/F#,E,G,D/F#,E,C,D,B,E,C,D,B,E,E,G,A,E,E,G,A,E,D,G,E,G,E,D,G,E,G,E,E,D,G,A,E,D,G,D/F#,E,G,D/F#,E"
1069,Back For Good,Take That,F,1,"E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,C#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,B,E,F#m,A,E,E,F#m,A,B,C#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E/G#,E/G#,F#m,E/G#,C#m,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B,E,F#m,A,B"
1196,Carolina In My Mind,James Taylor,"",0,"D,G,Em7,D,G,G/F#,A,G,A,Em7,A,D,A/C#,Bm,A,G,D/F#,E7,D,Bm7,Em7,D,D,C,G,A,Bm,G,A,G,D/F#,Bm7,Em7,Asus4,A7,D,Bm7,Em7,D,D,C,G,A,Bm,G,A,G,D/F#,Bm7,Em7,Asus4,A7,D,Bm7,Em7,D,D,G,G/F#,A,G,A,Em7,A,D,A/C#,Bm,A,G,D/F#,E7,D,Bm7,Em7,D,D,C,G,A,Bm,G,A,G,D/F#,Bm7,Em7,Asus4,A7,D,Bm7,Em7,D,D,G,A,Bm,F#m7,Em7,G,A,C,G,D,C,Em7,D,Bm7,Em7,D,D,G,Em7,D"
1334,Sing,Travis,"",2,"Em,Am,Em,Em,Am,Em,Em,Am,Em,G,D,Am,Am,G,G,D,Am,Am,G,Em,Am,Em,Em,Am,Em,G,D,Am,Am,G,G,D,Am,Am,G,G,D,Am,G,G,D,Am,G,Em,Am,Em,Am,Em,G,D,Am,Am,G,G,D,Am,Am,G,G,D,Am,Am,G,G,D,Am,Am,G"
1345,Youre Still The One,Shania Twain,Eb,1,"D,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A"
1395,Hows It Going To Be,Third Eye Blind,"",3,"D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,Em,D,A,Em,D,G,Em,D,A,Em,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,G,Em,D,A,Em,D,G,Em,D,A,Em,D,G,D,A,G,Em,G,D,A,Em,G,D,A,G,D,A,G,D,A,G,D,A,G,Em,G,D,A,Em,G,D,A,G,D,A,G,D"
1406,Jumper,Third Eye Blind,"",0,"E,A,D,G,B,E,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Am,C,G,Am,C,G,Am,D11,C,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Am,C,G,Am,C,G,Am,D11,C,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,D11,C,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,C,G"
1433,Drops Of Jupiter,Train,C,0,"C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,Bb,F,G,D,F,C,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,Bb,F"
2063,Angel,Shaggy,"",0,"D,G,C,F,A,D,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G,C,D,C,G"
2147,Black Magic Woman - Gypsy Queen,Santana,"",0,"Dm,Dm,Dm,Dm,Dm,Gm6,Dm,Gm6,Dm,Dm,Am7,Dm,Gm6,Dm,Am7,Dm,Dm,Dm,Dm,Dm,Am7,Dm,Gm,Dm,Am7,Dm,Dm,Am7,Dm,Gm,Dm,Am7,Dm,Dm,Am7,Dm,Gm6,Dm,Am7,Dm,Dm,Am7,Dm,Gm6,Dm,Am7,Dm,Dm,Am7,Dm,Gm,Dm,Am7,Dm,Dm,Dm,D,D,D7,D,D7,C,Am,D,D,D7,D,D7,C,A"
2148,Put Your Lights On,Santana,"",0,"Am,C,G,F,E,Am,C,G,F,E,Am,E,Am,E,Am,E,Am,E,Am,E,Am,E,Am,E,Am,E,C,C,C#,C#,G,G,F,F,E,E,F,F,E,E,Am,E,Am,E,Am,E,Am,E,Am,C,G,F,E,Am,C,G,F,E,Am,Am,C,G"
2220,Englishman In New York,Sting,Bm,0,"Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,D,A,Bm,F#,G,A,A#dim7,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm,Em,A,Bm"
2535,Two Princes,Spin Doctors,"",0,"D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,G,D,G,A,A,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,G,D,G,A,A,A,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,G,D,G,A,A,D,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G,D,Bm,A,G"
2553,What I Got,Sublime,D,0,"D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G"
2704,Kiss Me,Sixpence None the Richer,Eb,3,"C,Cmaj7,C7,Dm,G,Am,Gsus4,Fmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C"
2707,Kiss Me,Sixpence None the Richer,D,1,"D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D"
3118,All For You,Sister Hazel,"",1,"G,G,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Em,Am,Em,Am,Em,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,D,G,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Em,Am,Em,Am,Em,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,G,C,Em,C,Em,C,Em,C,D,G,Cadd9,Am,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Am,Asus2,Am,D,Dsus2,D,Em,Am,Em,Am,Em,Am,D,G,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,Am,D,G,Cadd9,D,G,G"
3165,Disarm,The Smashing Pumpkins,Em,0,"Em7,Cadd9,G,Dsus/F#,Dsus,D,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Em7,D,Em7,D,Cadd9,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus/F#,Em7,Cadd9,G,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Cadd9,Em7,Dsus,Cadd9,Dsus,Dsus,Em7,Cadd9,Dsus,Dsus,Em7,Cadd9,Dsus,Dsus,Em7,Cadd9,D,Em7,D,Em7,D,Em7,Cadd9"
3337,Truly Madly Deeply,Savage Garden,C,0,"C,G,F,G,C,G,F,G,C,G,F,G,Am,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,Am,G,F,G,C,G,F,G,C,G,F,G,C,G,F,G,F,G,C,G,F,G,C,G,F,G,C,C,G,F,G,C,G,C,G,F,G,C,G,F,G"
3391,Grow Old With You,Adam Sandler,A,0,"A,Bm,C#m,D,A,E,D,A,E,A,Bm,C#m,D,A,E,D,A,A7,D,A,D,E,E,D,A,Bm,C#m,D,A,E,D,A,E,D,A"
3991,Jumpin Jack Flash,The Rolling Stones,"",0,"D,A,E,B,D,A,E,B,D,A,E,B,D,A,E,B,D,A,E,B,D,A,E,B,D,A,E,B"
